CLASSIC_LASER_IN;CLASSIS_OUT;QUANT_IN_PORT;QUANT_DETECTOR_PORT;MIN photon count;MAX photon count;timestamp epoch;timestamp_utc;duration
2;10;3;9;25976;31090;1744390303.621273232;Fri Apr 11 04:51:43 PM UTC 2025;110.316339821
2;10;4;9;2413;2832;1744390413.944173177;Fri Apr 11 04:53:33 PM UTC 2025;82.735327232
2;10;5;9;939;1427;1744390496.686192509;Fri Apr 11 04:54:56 PM UTC 2025;39.744697198
2;10;6;9;11186;13964;1744390536.437302978;Fri Apr 11 04:55:36 PM UTC 2025;177.297493477
2;10;7;9;1133;1839;1744390713.741669482;Fri Apr 11 04:58:33 PM UTC 2025;60.546029665
2;10;8;9;1381;1644;1744390774.294970862;Fri Apr 11 04:59:34 PM UTC 2025;38.698505116
2;10;-;-;17515;18246;1744390935.114953077;Fri Apr 11 05:02:15 PM UTC 2025;135.490887714
2;10;1;11;14836;18761;1744391070.613078669;Fri Apr 11 05:04:30 PM UTC 2025;88.425415205
2;10;3;11;11019;14401;1744391159.045898938;Fri Apr 11 05:05:59 PM UTC 2025;46.283610853
2;10;4;11;16123;16601;1744391205.336084520;Fri Apr 11 05:06:45 PM UTC 2025;64.581902903
2;10;5;11;17775;20557;1744391269.925274266;Fri Apr 11 05:07:49 PM UTC 2025;102.208008849
2;10;6;11;18805;24768;1744391372.140939090;Fri Apr 11 05:09:32 PM UTC 2025;161.449218128
2;10;7;11;13944;17231;1744391533.597374547;Fri Apr 11 05:12:13 PM UTC 2025;76.527622006
2;10;8;11;16084;16903;1744391610.131881236;Fri Apr 11 05:13:30 PM UTC 2025;51.570254096
2;10;-;-;325;426;1744391837.561337814;Fri Apr 11 05:17:17 PM UTC 2025;54.799147203
2;10;1;12;1968;2059;1744391892.367297897;Fri Apr 11 05:18:12 PM UTC 2025;73.517190355
2;10;3;12;24972;28626;1744391965.891035156;Fri Apr 11 05:19:25 PM UTC 2025;57.450381752
2;10;4;12;1021;1413;1744392023.348336495;Fri Apr 11 05:20:23 PM UTC 2025;78.452333213
